,Opportunity Name,Opportunity Unique Identifier,Bridge Name,Country,Level 3 Government,Level 4 Government,Stage,Sub-Stage,Individuals Directly Served,River Name,Site Validation,Proposed Bridge Location (GPS) (Latitude),Proposed Bridge Location (GPS) (Longitude),Reason site not valid,Site Validation Comments,Flag for Rejection,Rejection Reason,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Nearest all-weather crossing point,360° with site description video on Box,Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,GPS (Longitude),GPS (Latitude),Waterway or Obstacle Classification,Transportation Route Classification,Environment Classification,Form: Created Date,Level 1 Government,Level 2 Government,geometry,latitude,longitude,priority
497,Côte d'Ivoire - Dokro 1 - 1044834,1044834,Dokro 1,Côte d'Ivoire,Ando-Kékrénou,Dékréta,Identified,,,Djongo,Not applicable,7.496533,-5.536208,,"Le site est sec actuellement, la traversée est mince et profonde, surmontée d'un pont en bois couvert de paille. La rivière monte en crue en saison des pluies et inonde la traversée, bloque l'accès à l'école primaire de Dékréta",No,,0,Aucun incident n'est signalé sur ce site,90.0,7 jours,"Monsieur Coulibaly Dokatchana, Directeur de l'EPP Dékréta, +2250709647896 a participé à cet entretien.",38.0,"Aucune autre traversée en toutes saisons, les élèves restent à la maison jusqu'à la baisse de la crue.",Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.536208,7.496533,River,motorcycle accessible path,Rural,2/18/23,Gbêkê,Béoumi,POINT (-5.536208 7.496533),7.496533,-5.536208,no
498,Côte d'Ivoire - Agonassou - 1044836,1044836,Agonassou,Côte d'Ivoire,Ando-Kékrénou,Ando-Kékrénou,Identified,,,Tanso,Not applicable,7.507947,-5.570986,,"Le site est sec actuellement, les élèves traversent à pieds secs. La rivière est large. Elle monte en crue en saison des pluies, obligeant les élèves à faire un contournement par la grande route à véhicules, parcourant 2 km en amont.",No,,0,Aucun incident n'est signalé sur le site,90.0,2 jours,"Monsieur Assi N'cho, Directeur de l'EPP Agonassou 2, +2250707144961 a participé à cet entretien",34.0,"Aucune autre traversée sécurisée en toutes saisons, les élèves contournent par la grande route à véhicules parcourant 2 km à pied",Non,,École Primaire - Primary,,,-5.570986,7.507947,"River; mudflat (low point with stagnant water, seasonally)",Walking path,Peri-urban,2/18/23,Gbêkê,Béoumi,POINT (-5.570986 7.507947),7.507947,-5.570986,no
499,Côte d'Ivoire - Gozanavogo - 1044838,1044838,Gozanavogo,Côte d'Ivoire,Kondrobo,Kouassi-Kouamékro,Identified,,,Bafond Gozanavogo,Not applicable,7.90518,-5.709043,,"Le site est une grande route à véhicules, mais l'eau inonde la traversée en période de pluie, bloque le passage aux élèves qui doivent se rendre à l'école primaire de Kouassi-Kouamékro",No,,0,Aucun incident n'est signalé sur le site,60.0,1 jour,"Monsieur Soro Kadotchan, chef de Gozanavogo, +2250748477811, a participé à cet entretien",24.0,Aucune autre traversée en toutes saisons,Non,,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Achat des unités ou de données - Airtime or data purchase",-5.709043,7.90518,River,non-graded road or car/vehicle accessible path,Rural,2/18/23,Gbêkê,Béoumi,POINT (-5.709043 7.90518),7.90518,-5.709043,no
500,Côte d'Ivoire - Sikatiô 1 - 1044840,1044840,Sikatiô 1,Côte d'Ivoire,Bodokro,Kèndè-dan,Identified,,,Bandama,Not applicable,7.872881,-5.621464,,"Le fleuve est très, très profond, contient abondamment d'eau, coule modérément, mais très dangereux. Il est encore plus dangereux en saison des pluies, surtout pour les élèves du primaire qui traversent pour accéder à l'EPP Akomiakro.",No,,5,La pirogue à chaviré lors de la traversée et les passagers renversés et noyés dans l'eau. Plusieurs personnes ont eu des membres fracturés en tombant dans l'eau.,365.0,365 jours,"Ce sont des élèves de Sikatiô, Awanty, Tondékro, Tcbuandakakro qui traversent le fleuve en pirogue pour accéder à l'école primaire de Akomiakro. Messieurs Koffi Koffi Delmas, président du COGES de Sikatiô, +2250555901488 et Obrou Kouassi Émile, vice-président des jeunes de Sikatiô, 0566587003 ont participé à l'entretien",147.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.621464,7.872881,River,motorcycle accessible path,Rural,2/18/23,Gbêkê,Béoumi,POINT (-5.621464 7.872881),7.872881,-5.621464,no
501,Côte d'Ivoire - Sôlô - 1044841,1044841,Sôlô,Côte d'Ivoire,Béoumi,Assenzé,Identified,,,Wawa,Not applicable,7.699153,-5.547934,,"La rivière est profonde, large surmontée d'un pont en bois couvert de terre. Elle ne contient pas d'eau actuellement, mais elle monte en crue en période de pluie et emporté parfois le pont, bloquant le passage aux élèves du secondaire.",No,,0,Plusieurs personnes sont tombées et blessées (membres supérieurs ou inférieurs fracturés) en traversant la rivière en saison des pluies,90.0,7 jours,"Messieurs Konan Michel Boua, Notable de Bôlô, +2250141002855, Kouamé Kouamé Émile, Instituteur, +2250709502368, Zouzou Kouadio Léon, Chef de quartier, +2250153551873 et Allengra N'guessan, notable du village, +2250153504069 ont participé à l'entretien.",30.0,"Aucune autre traversée en toutes saisons, les élèves restent bloqués à la maison jusqu'à la baisse de la crue",Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;EFTP ou école professionnelle/de métier - TVET or Vocational school,Marché hebdomadaire - Market (weekly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.547934,7.699153,River,motorcycle accessible path,Rural,2/18/23,Gbêkê,Béoumi,POINT (-5.547934 7.699153),7.699153,-5.547934,no
502,Côte d'Ivoire - N'zuéda - 1044842,1044842,N'zuéda,Côte d'Ivoire,Béoumi,Béoumi,Identified,,,M'Mienzué,Not applicable,7.681717,-5.585897,,"La rivière est large, légèrement profond, contient une faible quantité d'eau actuellement, coule lentement.",No,,0,"Aucun incident n'est signalé sur le site, mais il devient très dangereux pour les élèves du primaire et du secondaire en saison des pluies",120.0,4 jours,"Monsieur M'bonjour Dessi, Directeur de l'EPP N'zuéda, +2250505646134 a participé à cet entretien",28.0,"Aucune autre traversée en toutes saisons, les élèves contournent par la grande route à véhicules, parcourant 3 km à pied pour accéder à leurs établissements.",Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;EFTP ou école professionnelle/de métier - TVET or Vocational school,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.585897,7.681717,River,Walking path,Urban,2/18/23,Gbêkê,Béoumi,POINT (-5.585897 7.681717),7.681717,-5.585897,no
503,Côte d'Ivoire - Sikatiô 1 - 1044839,1044839,Sikatiô 1,Côte d'Ivoire,Bodokro,Kèndè-dan,Identified,,,Kouassiblanou,Not applicable,7.876935,-5.64168,,"Le site est une route à véhicules, il est sec actuellement, mais la rivière monte en crue en période des pluies et bloque le passage aux élèves de CM1 et CM2 et du secondaire qui doivent accéder à l'école primaire de Kèndè-dan et au collège de Bourébo.",No,,0,"Certains élèves sont tombés dans l'eau en voulant forcer le passage, ils ont été sauvés et les effets scolaires abîmés.",60.0,3 jours,"Messieurs Koffi Koffi Delmas, président du COGES de Sikatiô, +2250555901488 et Obrou Kouassi Émile, vice-président des jeunes de Sikatiô, +225 ont participé à l'entretien.",63.0,"Aucune autre traversée en toutes saisons, les élèves restent à la maison jusqu'à la baisse de la crue.",Non,,École Secondaire - Secondary school;École Primaire - Primary,Marché hebdomadaire - Market (weekly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.64168,7.876935,River,non-graded road or car/vehicle accessible path,Rural,2/18/23,Gbêkê,Béoumi,POINT (-5.64168 7.876935),7.876935,-5.64168,no
504,Côte d'Ivoire - Diéviessou 2 - 1044382,1044382,Diéviessou 2,Côte d'Ivoire,Béoumi,Diéviessou,Identified,,,Assanda,Not applicable,7.604478,-5.622254,,"La rivière est à sec actuellement, il n'y a pas d'eau. La communauté traverse à pieds secs. Mais elle se remplit d'eau en période des pluies et devient difficilement franchissable. En période de crue, la communauté traverse ce site en pirogue.",No,,1,Un homme venant du champ s'est noyé en traversant.,90.0,30 jours,"Les communautés de Diéviessou et Tchintchinnikro traversent ce site pour des objectifs économiques, scolaires, agricoles, santé, familiales. Messieurs Koffi Konan Firmin, Secrétaire chargé de l'information du GSC de Diéviessou, +2250748164631, Kouadio Yao François, Secrétaire chargé du suivi des travaux du GSC de Diéviessou, +2250757133923 ont participé à l'entretien.",55.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.622254,7.604478,River,non-graded road or car/vehicle accessible path,Rural,1/4/23,Gbêkê,Béoumi,POINT (-5.622254 7.604478),7.604478,-5.622254,no
505,Côte d'Ivoire - Diéviessou 5 - 1044385,1044385,Diéviessou 5,Côte d'Ivoire,Béoumi,Diéviessou,Identified,,,Kan,Not applicable,7.552248,-5.601634,,"Le site est asséché, il ne contient pas d'eau actuellement, la communauté traverse à pieds secs. Le lit n'est pas profond.",No,,0,Plusieurs personnes sont tombées et blessées en traversant l'eau en période de pluie.,90.0,3 jours,"Messieurs Koffi Konan Firmin, Secrétaire chargé de l'information du GSC de Diéviessou, +2250748164631 et Kouadio Yao François, Secrétaire chargé du suivi des travaux du GSC de Diéviessou, +2250757133923 ont participé à l'entretien.",45.0,Aucune autre traversée en toutes saisons,Non,Hôpital - Hospital,,Marché hebdomadaire - Market (weekly);Feme - Farms,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.601634,7.552248,River,motorcycle accessible path,Rural,1/4/23,Gbêkê,Béoumi,POINT (-5.601634 7.552248),7.552248,-5.601634,no
506,Côte d'Ivoire - Abayansi 1 - 1044377,1044377,Abayansi 1,Côte d'Ivoire,Béoumi,Diéviessou,Identified,,,Abayantika,Not applicable,7.593412,-5.56083,,"La rivière est un peu large, légèrement profonde, contient un peu d'eau, coule modérément.",No,,0,Plusieurs personnes sont tombées dans l'eau en traversant en période des pluies. Mais il n'y a pas eu de mort,90.0,7,"Messieurs Djaha Kouassi Charles, Secrétaire général adjoint du GSC de Diéviessou, +2250748883642, N'guessan Kan Achille, président des jeunes de Abayansi, +2250799912220, Lela Kouadio Marcel, chef de terre de Abayansi, +2250708205484 ont participé à l'entretien.",43.0,Aucune autre traversée en toutes saisons. Le site est infranchissable en période de crue.,Non,,,Feme - Farms,,-5.56083,7.593412,River,Walking path,Rural,1/4/23,Gbêkê,Béoumi,POINT (-5.56083 7.593412),7.593412,-5.56083,no
507,Côte d'Ivoire - N'zoupouri 2 - 1044387,1044387,N'zoupouri 2,Côte d'Ivoire,Béoumi,Diéviessou,Identified,,,Blôba,Not applicable,7.574541,-5.558461,,"La traversée est sèche actuellement, elle ne contient pas d'eau. La rivière renaît en période des pluies et inonde la traversée. On remarque un bafond en amont et en aval de la traversée.",No,,0,Aucun incident n'est signalé sur le site.,90.0,7 jours,"La communauté traverse ce site pour des raisons économiques, scolaires, agricoles, familiales. Messieurs Kouakou Kouassi Parfait, président des jeunes de N'zoupouri,+2250757161282, Kouakou Kouadio Pacôme, Secrétaire chargé de l'organisation du GSC de Diéviessou, +2250749551597 ont participé à l'entretien.",51.0,"Aucune autre traversée en toutes saisons, la communauté reste chez elle jusqu'à la baisse de la crue.",Non,Hôpital - Hospital,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.558461,7.574541,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,1/4/23,Gbêkê,Béoumi,POINT (-5.558461 7.574541),7.574541,-5.558461,no
508,Côte d'Ivoire - N'zoupouri 4 - 1044389,1044389,N'zoupouri 4,Côte d'Ivoire,Béoumi,Diéviessou,Identified,,,Agbayanbah,Not applicable,7.574526,-5.570564,,"Le site s'est asséché, il ne contient pas d'eau actuellement. La traversée est inondée en période des pluies, le site est large, légèrement profond, forme un grand bafond qui abrite des champs de riz. Le site est une croisée de 3 rivière.",No,,0,Plusieurs personnes traversant l'eau y tombent et se blessent en période des crue et d'inondation. Il est très dangereux en saison des pluies.,120.0,14 jours,"Messieurs Kouakou Kouassi Parfait, président des jeunes de N'zoupouri, +2250757161282, Kouakou Kouadio Pacôme, Secrétaire chargé de l'organisation du GSC de Diéviessou, +2250749551597 ont participé à l'entretien.",84.0,Aucune autre traversée en toutes saisons. Mais le site est infranchissable en période de pluie.,Non,Hôpital - Hospital,École Primaire - Primary,Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-5.570564,7.574526,River,Walking path,Rural,1/4/23,Gbêkê,Béoumi,POINT (-5.570564 7.574526),7.574526,-5.570564,no
